Name,Rating,Genres,Platforms,ESRB,Rating_scaled,ESRB_cat,Genres_list,Platforms_list,db_id
Darksiders Warmastered Edition,3.68,"Action, Rpg","Xbox One, Pc, Nintendo Switch, Wii U, Playstation 4",Mature,0.1001093769524272,3,"['action', 'rpg']","['xbox one', 'pc', 'nintendo switch', 'wii u', 'playstation 4']",2192
Divinity: Original Sin 2,4.39,"Rpg, Strategy","Playstation 4, Nintendo Switch, Pc, Xbox One",Mature,1.1681433008626148,3,"['rpg', 'strategy']","['playstation 4', 'nintendo switch', 'pc', 'xbox one']",2193
Dead Island,3.48,"Action, Shooter, Rpg","Pc, Xbox 360, Playstation 3",Mature,-0.2007452495011471,3,"['action', 'shooter', 'rpg']","['pc', 'xbox 360', 'playstation 3']",2194
The Last Of Us,4.55,"Action, Adventure","Playstation 3, Playstation 4",Mature,1.4088270020254745,3,"['action', 'adventure']","['playstation 3', 'playstation 4']",2195
Subnautica,4.25,"Adventure, Indie","Playstation 4, Xbox Series S/X, Pc, Macos, Nintendo Switch, Xbox One, Playstation 5",Everyone 10+,0.9575450623451132,2,"['adventure', 'indie']","['playstation 4', 'xbox series s/x', 'pc', 'macos', 'nintendo switch', 'xbox one', 'playstation 5']",2196
South Park: The Stick Of Truth,4.22,"Adventure, Rpg","Xbox One, Playstation 4, Playstation 3, Pc, Nintendo Switch, Xbox 360",Mature,0.9124168683770768,3,"['adventure', 'rpg']","['xbox one', 'playstation 4', 'playstation 3', 'pc', 'nintendo switch', 'xbox 360']",2197
Half-Life: Blue Shift,3.72,"Action, Shooter","Linux, Macos, Pc, Dreamcast",Mature,0.1602803022431421,3,"['action', 'shooter']","['linux', 'macos', 'pc', 'dreamcast']",2198
Fez,4.0,"Action, Adventure, Indie, Puzzle, Platformer","Nintendo Switch, Playstation 3, Xbox 360, Playstation 4, Ps Vita, Ios, Pc, Macos, Linux",Everyone,0.5814767792781457,1,"['action', 'adventure', 'indie', 'puzzle', 'platformer']","['nintendo switch', 'playstation 3', 'xbox 360', 'playstation 4', 'ps vita', 'ios', 'pc', 'macos', 'linux']",2199
Half-Life: Opposing Force,3.85,"Action, Shooter","Linux, Macos, Pc",Mature,0.3558358094379651,3,"['action', 'shooter']","['linux', 'macos', 'pc']",2200
A Plague Tale: Innocence,4.15,"Action, Adventure","Pc, Xbox Series S/X, Playstation 4, Playstation 5, Xbox One, Nintendo Switch",Mature,0.8071177491183268,3,"['action', 'adventure']","['pc', 'xbox series s/x', 'playstation 4', 'playstation 5', 'xbox one', 'nintendo switch']",2201
Castle Crashers,3.88,"Action, Indie","Playstation 3, Xbox 360, Nintendo Switch, Pc, Macos",Teen,0.400964003406001,5,"['action', 'indie']","['playstation 3', 'xbox 360', 'nintendo switch', 'pc', 'macos']",2202
Darkest Dungeon,4.17,"Rpg, Strategy, Indie","Pc, Macos, Nintendo Switch, Linux, Ps Vita, Xbox One, Playstation 4",Teen,0.8372032117636835,5,"['rpg', 'strategy', 'indie']","['pc', 'macos', 'nintendo switch', 'linux', 'ps vita', 'xbox one', 'playstation 4']",2203
Assassin'S Creed Unity,3.62,Action,"Playstation 4, Pc, Xbox One",Mature,0.0098529890163549,3,['action'],"['playstation 4', 'pc', 'xbox one']",2204
Don'T Starve,3.85,Indie,"Playstation 3, Ps Vita, Linux, Wii U, Xbox One, Pc, Macos, Playstation 4",Teen,0.3558358094379651,5,['indie'],"['playstation 3', 'ps vita', 'linux', 'wii u', 'xbox one', 'pc', 'macos', 'playstation 4']",2205
Call Of Duty: Black Ops,4.05,"Action, Shooter","Ios, Nintendo Ds, Playstation 3, Macos, Pc, Xbox One, Wii, Xbox 360",Mature,0.6566904358915389,3,"['action', 'shooter']","['ios', 'nintendo ds', 'playstation 3', 'macos', 'pc', 'xbox one', 'wii', 'xbox 360']",2206
Dragon Age: Origins,4.39,Rpg,"Xbox 360, Xbox One, Macos, Playstation 3, Pc",Mature,1.1681433008626148,3,['rpg'],"['xbox 360', 'xbox one', 'macos', 'playstation 3', 'pc']",2207
Dmc: Devil May Cry,4.03,"Action, Adventure","Playstation 3, Pc, Xbox One, Playstation 4, Xbox 360",Mature,0.6266049732461821,3,"['action', 'adventure']","['playstation 3', 'pc', 'xbox one', 'playstation 4', 'xbox 360']",2208
Quantum Break,3.91,"Action, Shooter","Pc, Xbox One",Mature,0.4460921973740375,3,"['action', 'shooter']","['pc', 'xbox one']",2209
Dead Space 2,4.38,"Action, Shooter","Xbox 360, Pc, Xbox One, Playstation 3",Mature,1.1531005695399363,3,"['action', 'shooter']","['xbox 360', 'pc', 'xbox one', 'playstation 3']",2210
Sleeping Dogs: Definitive Edition,4.15,"Action, Adventure","Xbox One, Pc, Macos, Playstation 4",Mature,0.8071177491183268,3,"['action', 'adventure']","['xbox one', 'pc', 'macos', 'playstation 4']",2211
Rayman Legends,4.16,Platformer,"Xbox One, Xbox 360, Playstation 3, Pc, Nintendo Switch, Wii U, Playstation 4, Ps Vita",Everyone 10+,0.8221604804410052,2,['platformer'],"['xbox one', 'xbox 360', 'playstation 3', 'pc', 'nintendo switch', 'wii u', 'playstation 4', 'ps vita']",2212
Devil May Cry 5,4.25,Action,"Playstation 5, Xbox One, Pc, Playstation 4",Mature,0.9575450623451132,3,['action'],"['playstation 5', 'xbox one', 'pc', 'playstation 4']",2213
Guacamelee! Super Turbo Championship Edition,3.55,"Action, Indie, Platformer","Playstation 4, Xbox 360, Wii U, Nintendo Switch, Pc, Xbox One",Everyone 10+,-0.0954461302423964,2,"['action', 'indie', 'platformer']","['playstation 4', 'xbox 360', 'wii u', 'nintendo switch', 'pc', 'xbox one']",2214
Fallout 3,4.08,"Shooter, Rpg","Xbox 360, Pc, Xbox One, Playstation 3",Mature,0.7018186298595754,3,"['shooter', 'rpg']","['xbox 360', 'pc', 'xbox one', 'playstation 3']",2215
Yakuza 0,4.37,"Action, Rpg","Pc, Playstation 4, Playstation 3, Xbox One",Mature,1.138057838217258,3,"['action', 'rpg']","['pc', 'playstation 4', 'playstation 3', 'xbox one']",2216
Batman: Arkham City,4.41,Action,"Playstation 3, Nintendo Switch, Macos, Playstation 4, Xbox One, Pc, Xbox 360",Teen,1.198228763507973,5,['action'],"['playstation 3', 'nintendo switch', 'macos', 'playstation 4', 'xbox one', 'pc', 'xbox 360']",2217
Beyond: Two Souls,3.8,"Action, Adventure","Pc, Playstation 3, Playstation 4",Mature,0.2806221528245712,3,"['action', 'adventure']","['pc', 'playstation 3', 'playstation 4']",2218
Torchlight Ii,3.84,"Action, Rpg","Pc, Playstation 4, Nintendo Switch, Xbox One, Macos, Linux",Teen,0.3407930781152861,5,"['action', 'rpg']","['pc', 'playstation 4', 'nintendo switch', 'xbox one', 'macos', 'linux']",2219
Days Gone,3.96,Action,"Pc, Playstation 4",Mature,0.5213058539874308,3,['action'],"['pc', 'playstation 4']",2220
Mafia Iii,3.13,"Action, Adventure","Macos, Pc, Xbox One, Playstation 4",Mature,-0.727240845794902,3,"['action', 'adventure']","['macos', 'pc', 'xbox one', 'playstation 4']",2221
Superhot,4.19,"Action, Shooter, Indie","Playstation 4, Nintendo Switch, Macos, Xbox One, Linux, Web, Pc",Teen,0.8672886744090417,5,"['action', 'shooter', 'indie']","['playstation 4', 'nintendo switch', 'macos', 'xbox one', 'linux', 'web', 'pc']",2222
The Sims 4,3.67,"Strategy, Simulation, Casual","Playstation 4, Macos, Pc, Xbox One, Xbox Series S/X",Teen,0.0850666456297482,5,"['strategy', 'simulation', 'casual']","['playstation 4', 'macos', 'pc', 'xbox one', 'xbox series s/x']",2223
Battlefield 4,3.95,Shooter,"Pc, Xbox One, Playstation 4, Xbox 360, Playstation 3",Mature,0.5062631226647524,3,['shooter'],"['pc', 'xbox one', 'playstation 4', 'xbox 360', 'playstation 3']",2224
What Remains Of Edith Finch,4.39,"Adventure, Indie","Xbox One, Ios, Pc, Nintendo Switch, Playstation 4",Teen,1.1681433008626148,5,"['adventure', 'indie']","['xbox one', 'ios', 'pc', 'nintendo switch', 'playstation 4']",2225
Uncharted 3: Drake'S Deception,4.37,Action,"Playstation 4, Playstation 3",Teen,1.138057838217258,5,['action'],"['playstation 4', 'playstation 3']",2226
Homefront,2.96,Shooter,"Playstation 3, Pc, Xbox 360",Mature,-0.9829672782804398,3,['shooter'],"['playstation 3', 'pc', 'xbox 360']",2227
Sniper Elite V2,3.4,"Action, Shooter","Pc, Wii U, Xbox 360, Playstation 3",Mature,-0.3210871000825768,3,"['action', 'shooter']","['pc', 'wii u', 'xbox 360', 'playstation 3']",2228
Call Of Duty: Wwii,3.54,"Action, Shooter","Playstation 4, Xbox One, Pc",Mature,-0.1104888615650747,3,"['action', 'shooter']","['playstation 4', 'xbox one', 'pc']",2229
Resident Evil 2 (1998),4.32,Action,"Dreamcast, Gamecube, Nintendo 64, Pc, Playstation",Mature,1.0628441816038647,3,['action'],"['dreamcast', 'gamecube', 'nintendo 64', 'pc', 'playstation']",2230
