Name,Rating,Genres,Platforms,ESRB,Genres_list,Platforms_list,Cluster
The Elder Scrolls IV: Oblivion,4.33,"Adventure, RPG, Indie","PC, Xbox 360, PlayStation 3, Xbox One",Mature,"['Adventure', 'RPG', 'Indie']","['PC', 'Xbox 360', 'PlayStation 3', 'Xbox One']",1
Fahrenheit: Indigo Prophecy Remastered,4.16,"Action, Adventure","PC, PlayStation 4, Linux, macOS, iOS",Mature,"['Action', 'Adventure']","['PC', 'PlayStation 4', 'Linux', 'macOS', 'iOS']",1
Day of the Tentacle Remastered,3.66,"Adventure, Family","PS Vita, PlayStation 4, Xbox One, iOS, PC, Linux, macOS",Teen,"['Adventure', 'Family']","['PS Vita', 'PlayStation 4', 'Xbox One', 'iOS', 'PC', 'Linux', 'macOS']",0
Divinity II: Developer's Cut,3.57,"Action, RPG","PC, Xbox 360",Mature,"['Action', 'RPG']","['PC', 'Xbox 360']",1
Trials Fusion,3.52,Racing,"PlayStation 4, Xbox 360, PC, Xbox One",Everyone 10+,['Racing'],"['PlayStation 4', 'Xbox 360', 'PC', 'Xbox One']",2
Conan Exiles,2.85,"Action, Adventure, Massively Multiplayer","PlayStation 4, Xbox One, PC",Adults Only,"['Action', 'Adventure', 'Massively Multiplayer']","['PlayStation 4', 'Xbox One', 'PC']",0
LEGO Batman,3.77,"Action, Family","Nintendo DS, macOS, PC, PSP, PlayStation 3, Xbox 360, Wii, PlayStation 2, Xbox One",Everyone 10+,"['Action', 'Family']","['Nintendo DS', 'macOS', 'PC', 'PSP', 'PlayStation 3', 'Xbox 360', 'Wii', 'PlayStation 2', 'Xbox One']",2
GreedFall,3.34,"Action, Adventure, RPG","PlayStation 4, PC, Xbox One",Mature,"['Action', 'Adventure', 'RPG']","['PlayStation 4', 'PC', 'Xbox One']",1
Resident Evil 0 / Biohazard 0 HD REMASTER,3.82,"Action, Adventure","PlayStation 4, PlayStation 3, Xbox 360, Nintendo Switch, PC, Xbox One",Mature,"['Action', 'Adventure']","['PlayStation 4', 'PlayStation 3', 'Xbox 360', 'Nintendo Switch', 'PC', 'Xbox One']",1
Battlefield Hardline,3.2,"Action, Shooter","PC, Xbox 360, PlayStation 4, Xbox One, PlayStation 3",Mature,"['Action', 'Shooter']","['PC', 'Xbox 360', 'PlayStation 4', 'Xbox One', 'PlayStation 3']",1
Serious Sam: The Second Encounter,4.02,"Action, Shooter, Indie",PC,Mature,"['Action', 'Shooter', 'Indie']",['PC'],1
How to Survive,3.02,"Action, Adventure, RPG","PlayStation 3, Xbox 360, Wii U, PC, Xbox One, PlayStation 4",Mature,"['Action', 'Adventure', 'RPG']","['PlayStation 3', 'Xbox 360', 'Wii U', 'PC', 'Xbox One', 'PlayStation 4']",1
The Last Guardian,4.07,"Action, Puzzle",PlayStation 4,Teen,"['Action', 'Puzzle']",['PlayStation 4'],0
Dead Space 3,3.64,"Action, Shooter","Xbox One, PC, Xbox 360, PlayStation 3",Mature,"['Action', 'Shooter']","['Xbox One', 'PC', 'Xbox 360', 'PlayStation 3']",1
Sherlock Holmes: The Devil's Daughter,3.7,"Action, Adventure","Nintendo Switch, PC, PlayStation 4, Xbox One",Teen,"['Action', 'Adventure']","['Nintendo Switch', 'PC', 'PlayStation 4', 'Xbox One']",0
