Name,Rating,Genres,Platforms,ESRB,Rating_scaled,ESRB_cat,Genre_Action,Genre_Adventure,Genre_Arcade,Genre_Board Games,Genre_Card,Genre_Casual,Genre_Educational,Genre_Family,Genre_Fighting,Genre_Indie,Genre_Massively Multiplayer,Genre_Platformer,Genre_Puzzle,Genre_Racing,Genre_Rpg,Genre_Shooter,Genre_Simulation,Genre_Sports,Genre_Strategy,Platform_3Do,Platform_Android,Platform_Apple Ii,Platform_Atari 2600,Platform_Atari 5200,Platform_Atari 8-Bit,Platform_Atari St,Platform_Classic Macintosh,Platform_Commodore / Amiga,Platform_Dreamcast,Platform_Game Boy,Platform_Game Boy Advance,Platform_Game Boy Color,Platform_Game Gear,Platform_Gamecube,Platform_Genesis,Platform_Ios,Platform_Jaguar,Platform_Linux,Platform_Macos,Platform_Neo Geo,Platform_Nes,Platform_Nintendo 3Ds,Platform_Nintendo 64,Platform_Nintendo Ds,Platform_Nintendo Dsi,Platform_Nintendo Switch,Platform_Pc,Platform_Playstation,Platform_Playstation 2,Platform_Playstation 3,Platform_Playstation 4,Platform_Playstation 5,Platform_Ps Vita,Platform_Psp,Platform_Sega 32X,Platform_Sega Cd,Platform_Sega Master System,Platform_Sega Saturn,Platform_Snes,Platform_Web,Platform_Wii,Platform_Wii U,Platform_Xbox,Platform_Xbox 360,Platform_Xbox One,Platform_Xbox Series S/X,Cluster,db_id
Final Fantasy Ix,4.35,"Adventure, Rpg","Ios, Playstation 4, Playstation, Android, Nintendo Switch, Pc, Xbox One",Teen,1.1079723755718998,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1649
The Walking Dead: A New Frontier,3.62,"Action, Adventure","Pc, Ios, Nintendo Switch, Xbox One, Macos, Playstation 4, Android",Mature,0.0098529890163549,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1650
World Of Tanks Blitz,2.76,"Action, Shooter, Adventure, Strategy, Massively Multiplayer","Android, Nintendo Switch, Macos, Ios, Pc",Teen,-1.2838219047340145,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1651
The Elder Scrolls: Legends,3.2,"Strategy, Card","Nintendo Switch, Ios, Pc, Macos, Android",Teen,-0.6219417265361505,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1652
Teslagrad,3.34,"Action, Adventure, Family, Indie, Puzzle, Platformer","Xbox One, Wii U, Android, Ps Vita, Playstation 4, Playstation 3, Nintendo Switch, Macos, Pc, Linux, Ios",Everyone,-0.4113434880186492,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1653
Fifa 14,3.42,Sports,"Android, Ps Vita, Playstation 4, Psp, Playstation 3, Playstation 2, Xbox 360, Wii, Nintendo 3Ds, Nintendo Switch, Pc, Ios, Xbox One",Everyone,-0.2910016374372194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1654
Batman: The Telltale Series,3.75,Adventure,"Xbox 360, Playstation 3, Pc, Macos, Xbox One, Ios, Nintendo Switch, Playstation 4, Android",Mature,0.205408496211178,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1655
Party Hard,3.51,"Action, Strategy, Arcade, Fighting, Indie","Xbox One, Playstation 4, Nintendo Switch, Pc, Macos, Linux, Android",Mature,-0.1556170555331112,3,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1656
Despotism 3K,3.34,"Strategy, Simulation, Indie","Nintendo Switch, Android, Pc, Ios",Mature,-0.4113434880186492,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1657
Back To Bed,2.82,"Action, Adventure, Strategy, Casual, Indie, Puzzle","Android, Playstation 4, Playstation 3, Wii U, Nintendo Switch, Linux, Macos, Pc, Ios",Everyone 10+,-1.193565516797942,2,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1658
Kingdom: Two Crowns,4.14,"Adventure, Rpg, Strategy, Simulation, Indie","Playstation 4, Nintendo Switch, Macos, Pc, Ios, Xbox One, Android",Everyone 10+,0.792075017795647,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1659
The Walking Dead: Michonne,3.34,"Action, Adventure","Android, Macos, Pc, Ios, Xbox 360, Xbox One, Playstation 3, Playstation 4",Mature,-0.4113434880186492,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1660
Door Kickers,3.8,"Action, Strategy, Simulation, Indie","Ios, Pc, Macos, Linux, Android",Teen,0.2806221528245712,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1661
Poly Bridge,3.48,"Simulation, Indie, Puzzle","Nintendo Switch, Linux, Pc, Ios, Android, Macos",Everyone,-0.2007452495011471,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1662
